year,code,sex,population,deployment,tagID,divenum,maxdep,durwho,bzsounds,kindet,sc,NLmax
2009,2009_35,M,NRKW,oo09_239a,244,88,21.50628684,275.6,0,0,0,96.84389857
2009,2009_35,M,NRKW,oo09_239a,244,90,1.887569985,13,0,0,0,94.02452581
2009,2009_35,M,NRKW,oo09_239a,244,92,2.524334248,20,0,0,0,93.88518422
2009,2009_35,M,NRKW,oo09_239a,244,93,18.30577685,277,0,1,0,96.31693223
2009,2009_35,M,NRKW,oo09_239a,244,94,1.664580976,11.6,0,0,0,94.04712804
2009,2009_35,M,NRKW,oo09_239a,244,95,2.906393069,18.2,0,0,0,94.02631128
2009,2009_35,M,NRKW,oo09_239a,244,96,2.316215113,13.4,0,0,0,93.98960934
2009,2009_35,M,NRKW,oo09_239a,244,99,15.54727336,227.8,0,0,0,98.15432395
2009,2009_35,M,NRKW,oo09_239a,244,102,29.82457445,144,0,0,1,95.66920795
2009,2009_35,M,NRKW,oo09_239a,244,103,5.417268203,47.4,0,0,0,94.99462813
2009,2009_35,M,NRKW,oo09_239a,244,104,2.321185709,22.8,0,0,0,94.31154604
2009,2009_35,M,NRKW,oo09_239a,244,106,7.595616302,87,0,0,0,95.79704594
2009,2009_35,M,NRKW,oo09_239a,244,107,3.575889099,20.6,0,0,0,94.68875988
2009,2009_35,M,NRKW,oo09_239a,244,108,2.772604262,19.6,0,0,0,96.02595417
2009,2009_35,M,NRKW,oo09_239a,244,109,6.266613831,37,0,0,0,94.82278754
2009,2009_35,M,NRKW,oo09_239a,244,110,4.208722007,33.6,0,0,0,95.15168201
2009,2009_35,M,NRKW,oo09_239a,244,111,9.740870665,94.2,0,0,0,97.38114886
2009,2009_35,M,NRKW,oo09_239a,244,112,4.762236527,24.2,0,0,0,96.61108491
2009,2009_35,M,NRKW,oo09_239a,244,114,3.278563521,16,0,0,0,94.86265947
2009,2009_35,M,NRKW,oo09_239a,244,115,14.01809388,162.6,0,1,0,98.25445125
2009,2009_35,M,NRKW,oo09_239a,244,117,7.849821598,41.8,0,0,0,94.95059223
2009,2009_35,M,NRKW,oo09_239a,244,120,4.492616945,40.8,0,0,0,96.11069178
2009,2009_35,M,NRKW,oo09_239a,244,121,3.192344306,20.8,0,0,0,94.50549413
2009,2009_35,M,NRKW,oo09_239a,244,123,4.362781284,22.8,0,0,0,94.31940047
2009,2009_35,M,NRKW,oo09_239a,244,124,19.02423598,239.6,0,0,0,95.54732514
2009,2009_35,M,NRKW,oo09_239a,244,125,3.006031508,18.6,0,0,0,94.89505044
2009,2009_35,M,NRKW,oo09_239a,244,126,3.137866603,22.2,0,0,0,94.75349207
2009,2009_35,M,NRKW,oo09_239a,244,127,6.447477953,43.2,0,0,0,96.2176315
2009,2009_35,M,NRKW,oo09_239a,244,129,4.319668587,28.8,0,0,1,95.72207023
2009,2009_35,M,NRKW,oo09_239a,244,132,5.04215232,34,0,0,0,95.77445834
2009,2009_35,M,NRKW,oo09_239a,244,133,14.33620861,195,0,0,1,99.74264624
2009,2009_35,M,NRKW,oo09_239a,244,135,7.302767119,35.4,0,0,0,100.9304012
2009,2009_35,M,NRKW,oo09_239a,244,136,11.4850143,83.2,0,0,1,99.81872503
2009,2009_35,M,NRKW,oo09_239a,244,138,3.342482017,37.6,0,0,0,99.8150814
2009,2009_35,M,NRKW,oo09_239a,244,139,4.11703865,61.4,0,0,0,100.585684
2009,2009_35,M,NRKW,oo09_239a,244,140,5.843920396,62.4,0,0,0,104.5458996
2009,2009_35,M,NRKW,oo09_239a,244,141,4.538714943,35.2,0,0,0,99.08885304
2009,2009_35,M,NRKW,oo09_239a,244,142,6.958368344,39.8,0,0,1,96.90752445
2009,2009_35,M,NRKW,oo09_239a,244,144,3.800835577,27.6,0,0,0,99.51624999
2009,2009_35,M,NRKW,oo09_239a,244,145,3.64377944,34.6,0,0,0,98.50147434
2009,2009_35,M,NRKW,oo09_239a,244,146,4.476257391,51.4,0,0,0,111.7343717
2009,2009_35,M,NRKW,oo09_239a,244,147,3.926207436,33.2,0,0,0,102.0512412
2009,2009_35,M,NRKW,oo09_239a,244,148,4.780011504,27.6,0,0,0,101.7879862
2009,2009_35,M,NRKW,oo09_239a,244,149,4.579838008,39.8,0,0,0,97.8985767
2009,2009_35,M,NRKW,oo09_239a,244,150,3.635330147,47.4,0,0,0,101.9342887
2009,2009_35,M,NRKW,oo09_239a,244,151,3.331068191,24,0,0,0,97.31943506
2009,2009_35,M,NRKW,oo09_239a,244,152,4.418342832,42.4,0,0,0,102.9600692
2009,2009_35,M,NRKW,oo09_239a,244,153,4.926242412,42.2,0,0,0,103.6735635
2009,2009_35,M,NRKW,oo09_239a,244,154,4.549685735,38.4,0,0,0,99.64025144
2009,2009_35,M,NRKW,oo09_239a,244,155,4.486161238,39.8,0,0,0,107.6278547
2009,2009_35,M,NRKW,oo09_239a,244,156,4.084409702,48.2,0,0,0,102.0691273
2009,2009_35,M,NRKW,oo09_239a,244,157,2.83208296,21.2,0,0,0,99.42203548
2009,2009_35,M,NRKW,oo09_240a,243,16,2.584170752,11.6,0,0,0,99.16793569
2009,2009_35,M,NRKW,oo09_240a,243,19,2.649864104,11.2,0,0,0,100.011223
2009,2009_35,M,NRKW,oo09_240a,243,20,3.44541023,15.8,0,0,0,99.44795387
