population,deployment,tagID,sex,divenum,maxdep,durwho,kindet,bzsounds,sc,context
NRKW,oo09_235a,243,F,298,3.164943615,17.4,0,0,0,non_foraging
NRKW,oo09_235a,243,F,299,2.708598758,18.4,0,0,0,non_foraging
NRKW,oo09_235a,243,F,301,4.297082923,20.0,0,0,0,non_foraging
NRKW,oo09_235a,243,F,302,4.718929589,23.0,0,0,0,non_foraging
NRKW,oo09_235a,243,F,303,13.69399727,111.2,0,0,0,non_foraging
NRKW,oo09_235a,243,F,307,9.099145254,57.6,0,0,0,non_foraging
NRKW,oo09_235a,243,F,311,5.427306215,26.0,0,0,0,non_foraging
NRKW,oo09_235a,243,F,312,5.008296104,29.4,0,0,0,non_foraging
NRKW,oo09_235a,243,F,314,6.554618915,53.6,0,0,0,non_foraging
NRKW,oo09_235a,243,F,315,14.94974138,117.0,0,0,0,non_foraging
NRKW,oo09_235a,243,F,320,4.210650675,21.6,0,0,0,non_foraging
NRKW,oo09_235a,243,F,323,6.97089827,38.4,0,0,0,non_foraging
NRKW,oo09_235a,243,F,324,3.87897407,18.6,0,0,0,non_foraging
NRKW,oo09_237c,244,F,13,3.540126308,17.8,0,0,0,non_foraging
NRKW,oo09_237c,244,F,14,3.028126144,14.6,0,0,0,non_foraging
NRKW,oo09_237c,244,F,15,3.841701073,17.4,0,0,0,non_foraging
NRKW,oo09_237c,244,F,17,3.724380382,18.8,0,0,0,non_foraging
NRKW,oo09_237c,244,F,18,3.377985019,16.4,0,0,0,non_foraging
NRKW,oo09_237c,244,F,19,26.09707744,172.2,0,0,0,non_foraging
NRKW,oo09_237c,244,F,21,15.71013351,140.2,0,0,0,non_foraging
NRKW,oo09_237c,244,F,22,4.245294849,19.2,0,0,0,non_foraging
NRKW,oo09_237c,244,F,25,4.722495139,22.8,0,0,0,non_foraging
NRKW,oo09_237c,244,F,26,6.295448551,41.0,0,0,0,non_foraging
NRKW,oo09_237c,244,F,30,5.359299316,33.8,0,0,0,non_foraging
NRKW,oo09_237c,244,F,31,5.149559379,32.6,0,0,1,non_foraging
NRKW,oo09_237c,244,F,33,5.74603144,50.2,0,0,0,non_foraging
NRKW,oo09_237c,244,F,34,5.356062968,33.8,0,0,0,non_foraging
NRKW,oo09_237c,244,F,35,4.888770271,34.6,0,0,0,non_foraging
NRKW,oo09_237c,244,F,36,5.313257278,34.8,0,0,0,non_foraging
NRKW,oo09_237c,244,F,43,34.59012726,125.4,0,0,0,foraging
NRKW,oo09_237c,244,F,46,4.632527756,22.0,0,0,0,non_foraging
NRKW,oo09_237c,244,F,49,4.889485193,45.4,0,0,0,non_foraging
NRKW,oo09_237c,244,F,55,5.313257278,36.6,0,0,0,non_foraging
NRKW,oo09_237c,244,F,58,3.437580742,16.6,0,0,0,non_foraging
NRKW,oo09_237c,244,F,62,2.925404202,14.6,0,0,0,non_foraging
NRKW,oo09_237c,244,F,64,4.035720224,37.2,0,0,0,non_foraging
NRKW,oo09_237c,244,F,65,3.5204121,17.8,0,0,0,non_foraging
NRKW,oo09_237c,244,F,66,10.00017856,54.6,0,0,0,non_foraging
NRKW,oo09_237c,244,F,70,107.6155949,300.8,1,0,0,foraging
NRKW,oo09_237c,244,F,71,1.664527849,10.4,0,0,0,non_foraging
NRKW,oo09_237c,244,F,107,5.529246894,40.2,1,0,1,foraging
NRKW,oo09_237d,244,M,12,2.757200038,15.4,0,0,0,non_foraging
NRKW,oo09_237d,244,M,13,25.83260224,255.0,0,0,0,non_foraging
NRKW,oo09_237d,244,M,20,2.858991664,12.6,0,0,0,non_foraging
NRKW,oo09_237d,244,M,22,27.5323841,327.8,0,0,0,non_foraging
NRKW,oo09_237d,244,M,28,27.69119003,217.2,0,0,0,non_foraging
NRKW,oo09_237d,244,M,33,2.399381262,10.2,0,0,0,non_foraging
NRKW,oo09_237d,244,M,34,2.711885879,14.0,0,0,0,non_foraging
NRKW,oo09_237d,244,M,35,2.934228268,14.6,0,0,0,non_foraging
NRKW,oo09_237d,244,M,36,26.87924072,195.4,0,0,0,non_foraging
NRKW,oo09_237d,244,M,47,35.40991158,155.8,0,0,0,foraging
NRKW,oo09_237d,244,M,53,3.562824384,20.2,0,0,0,non_foraging
NRKW,oo09_237d,244,M,75,4.028359169,27.4,0,0,0,non_foraging
NRKW,oo09_237d,244,M,94,162.5454516,421.6,1,1,1,foraging
NRKW,oo09_237d,244,M,116,170.4724358,506.8,1,1,1,foraging
NRKW,oo09_237d,244,M,122,2.574288976,11.2,0,0,1,non_foraging
NRKW,oo09_237d,244,M,136,6.877202366,12.0,0,0,1,non_foraging
NRKW,oo09_237d,244,M,137,164.4550655,478.4,1,1,1,foraging
NRKW,oo09_237d,244,M,143,2.38960795,11.2,0,0,0,non_foraging
NRKW,oo09_237d,244,M,186,4.40227142,45.8,0,0,1,non_foraging
NRKW,oo09_237d,244,M,188,3.956738602,32.6,0,0,1,non_foraging
NRKW,oo09_237d,244,M,190,48.91885757,89.6,0,0,1,foraging
NRKW,oo09_237d,244,M,192,169.2105936,274.4,0,0,1,foraging
NRKW,oo09_237d,244,M,203,62.30812581,107.4,0,0,1,foraging
NRKW,oo09_237d,244,M,208,174.9662279,345.4,1,1,1,foraging
NRKW,oo09_237d,244,M,233,2.689139067,14.8,0,0,1,non_foraging
NRKW,oo09_237d,244,M,234,169.175402,341.0,1,1,1,foraging
NRKW,oo09_237d,244,M,237,2.377957828,11.0,0,0,1,non_foraging
NRKW,oo09_237d,244,M,242,169.6807389,229.4,1,1,1,foraging
NRKW,oo09_237d,244,M,261,170.0938615,468.4,1,1,1,foraging
NRKW,oo09_237d,244,M,270,3.133627915,11.8,0,0,0,non_foraging
NRKW,oo09_237d,244,M,281,3.238125501,19.6,0,0,0,non_foraging
NRKW,oo09_237d,244,M,316,5.605341755,30.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,11,14.74491184,119.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,12,2.443052228,13.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,13,2.807984257,13.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,15,19.79106112,101.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,21,26.10088749,84.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,24,10.29045054,76.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,27,30.51080343,190.8,0,0,0,foraging
NRKW,oo09_239a,244,M,31,17.78744663,186.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,36,26.50796413,215.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,41,32.65361006,218.0,0,0,0,foraging
NRKW,oo09_239a,244,M,45,5.023460549,55.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,46,7.294627414,57.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,48,5.133316375,34.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,50,19.52799243,156.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,54,4.039293779,43.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,55,5.076102445,54.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,58,17.28703536,55.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,59,6.214199727,38.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,60,21.16436467,188.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,64,14.90414481,123.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,66,3.309328595,40.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,68,7.956438641,118.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,72,3.636819417,26.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,77,4.525802425,31.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,79,3.079832406,27.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,81,5.437206625,39.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,82,11.58807772,114.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,83,2.07840803,16.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,87,2.290012657,12.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,88,21.50628684,275.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,90,1.887569985,13.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,92,2.524334248,20.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,93,18.30577685,277.0,1,0,0,foraging
NRKW,oo09_239a,244,M,94,1.664580976,11.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,95,2.906393069,18.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,96,2.316215113,13.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,99,15.54727336,227.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,102,29.82457445,144.0,0,0,1,non_foraging
NRKW,oo09_239a,244,M,103,5.417268203,47.4,0,0,0,non_foraging
NRKW,oo09_239a,244,M,104,2.321185709,22.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,106,7.595616302,87.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,107,3.575889099,20.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,108,2.772604262,19.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,109,6.266613831,37.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,110,4.208722007,33.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,111,9.740870665,94.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,112,4.762236527,24.2,0,0,0,non_foraging
NRKW,oo09_239a,244,M,114,3.278563521,16.0,0,0,0,non_foraging
NRKW,oo09_239a,244,M,115,14.01809388,162.6,1,0,0,foraging
NRKW,oo09_239a,244,M,117,7.849821598,41.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,120,4.492616945,40.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,121,3.192344306,20.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,123,4.362781284,22.8,0,0,0,non_foraging
NRKW,oo09_239a,244,M,124,19.02423598,239.6,0,0,0,non_foraging
NRKW,oo09_239a,244,M,125,3.006031508,18.6,0,0,0,non_foraging
